Timestamp (ns),Timestamp2,I,Q
2024-11-17 11:03:08.348597050,.000,-0.000853,-0.000852
2024-11-17 11:03:08.348597060,.833,0.000509,-0.00051
2024-11-17 11:03:08.348597071,.666,0.000686,-0.000167
2024-11-17 11:03:08.348597082,.499,-0.000852,0.00171
2024-11-17 11:03:08.348597093,.332,0.00188,-0.000167
2024-11-17 11:03:08.348597104,.165,-0.000852,0.000167
2024-11-17 11:03:08.348597114,.998,0.000686,0.000686
2024-11-17 11:03:08.348597125,.831,0.000852,-0.000685
2024-11-17 11:03:08.348597136,.664,-0.000853,-0.000852
2024-11-17 11:03:08.348597147,.497,0.00119,-0.000343
2024-11-17 11:03:08.348597158,.330,0.000166,-0.00154
2024-11-17 11:03:08.348597169,.163,0.000166,-0.000343
2024-11-17 11:03:08.348597179,.996,0.00171,-0.000686
2024-11-17 11:03:08.348597190,.829,0.00103,-0.0012
2024-11-17 11:03:08.348597201,.662,-0.000166,-0.000686
2024-11-17 11:03:08.348597212,.495,-0.000343,-0.000509
2024-11-17 11:03:08.348597223,.328,0.00137,4.15e-07
2024-11-17 11:03:08.348597234,.161,0.00222,-0.00103
2024-11-17 11:03:08.348597244,.994,-0.000167,0.000343
2024-11-17 11:03:08.348597255,.827,-0.00051,-0.000167
2024-11-17 11:03:08.348597266,.660,-0.000167,-0.00051
2024-11-17 11:03:08.348597277,.493,0.000343,0.000509
2024-11-17 11:03:08.348597288,.326,-0.000509,0.0012
2024-11-17 11:03:08.348597299,.159,0.000686,1.87e-07
2024-11-17 11:03:08.348597309,.992,0.000686,-0.00119
2024-11-17 11:03:08.348597320,.825,-0.000167,-0.000852
2024-11-17 11:03:08.348597331,.658,0.000852,0.000686
2024-11-17 11:03:08.348597342,.491,-0.00051,-0.0012
2024-11-17 11:03:08.348597353,.324,0.000852,-0.0012
2024-11-17 11:03:08.348597364,.157,0.00103,0.00103
2024-11-17 11:03:08.348597374,.990,-0.000343,-3.01e-07
2024-11-17 11:03:08.348597385,.823,-0.000166,-0.00137
2024-11-17 11:03:08.348597396,.656,-0.000166,0.00103
2024-11-17 11:03:08.348597407,.489,0.00103,0.00103
2024-11-17 11:03:08.348597418,.322,0.000166,0.000686
2024-11-17 11:03:08.348597429,.155,-0.0012,-0.000852
2024-11-17 11:03:08.348597439,.988,-3.92e-07,-0.000167
2024-11-17 11:03:08.348597450,.821,-1.98e-07,0.000685
2024-11-17 11:03:08.348597461,.654,0.00137,-0.00154
2024-11-17 11:03:08.348597472,.487,0.00103,0.000343
2024-11-17 11:03:08.348597483,.320,0.000343,3.75e-08
2024-11-17 11:03:08.348597494,.153,0.00051,0.000167
2024-11-17 11:03:08.348597504,.986,-0.000343,-0.00119
2024-11-17 11:03:08.348597515,.819,-0.000686,-0.000509
2024-11-17 11:03:08.348597526,.652,0.000685,-0.000343
2024-11-17 11:03:08.348597537,.485,-3.61e-07,0.000166
2024-11-17 11:03:08.348597548,.318,0.000166,0.000852
2024-11-17 11:03:08.348597559,.151,-0.000166,-0.00051
2024-11-17 11:03:08.348597569,.984,-0.000509,-0.000343
2024-11-17 11:03:08.348597580,.817,0.000167,-0.0012
2024-11-17 11:03:08.348597591,.650,2.34e-07,-0.000509
2024-11-17 11:03:08.348597602,.483,-0.000686,-0.000852
2024-11-17 11:03:08.348597613,.316,0.000852,2.79e-07
2024-11-17 11:03:08.348597624,.149,-0.000853,0.000852
2024-11-17 11:03:08.348597634,.982,0.000166,-0.000686
2024-11-17 11:03:08.348597645,.815,-0.00154,0.000852
2024-11-17 11:03:08.348597656,.648,-0.000166,-3.53e-07
2024-11-17 11:03:08.348597667,.481,0.00051,0.0012
2024-11-17 11:03:08.348597678,.314,-0.00137,-0.000166
2024-11-17 11:03:08.348597689,.147,0.0012,0.000853
2024-11-17 11:03:08.348597699,.980,-0.000853,0.00051
2024-11-17 11:03:08.348597710,.813,0.000852,0.00103
2024-11-17 11:03:08.348597721,.646,-0.000167,-0.000343
2024-11-17 11:03:08.348597732,.479,-0.00154,0.000343
2024-11-17 11:03:08.348597743,.312,-0.00137,0.000343
2024-11-17 11:03:08.348597754,.145,0.00103,-0.00051
2024-11-17 11:03:08.348597764,.978,4.17e-07,0.00103
2024-11-17 11:03:08.348597775,.811,0.000343,0.000343
2024-11-17 11:03:08.348597786,.644,-0.00188,-0.000685
2024-11-17 11:03:08.348597797,.477,-0.000343,-0.000343
2024-11-17 11:03:08.348597808,.310,-3.89e-07,1.58e-07
2024-11-17 11:03:08.348597819,.143,-0.00188,0.000509
2024-11-17 11:03:08.348597829,.976,-0.000167,-0.000853
2024-11-17 11:03:08.348597840,.809,0.00103,0.00154
2024-11-17 11:03:08.348597851,.642,-0.000686,0.000343
2024-11-17 11:03:08.348597862,.475,0.000343,-0.000852
2024-11-17 11:03:08.348597873,.308,0.000343,-0.000686
2024-11-17 11:03:08.348597884,.141,-0.000343,-0.00137
2024-11-17 11:03:08.348597894,.974,0.00103,0.000343
